Elaborado el... 2007-11-15
Mes: 1 de Febrero de 2007 al 28 de Febrero de 2007
CODIGO | PLAN | FECHA REGISTRO | HORA INGRESO | HORA SALIDA | SALA | No. EQUIPO | TIPO USO
0441530 |3857 | 2007-03-17 | 15:46:35 | 16:46:35 | idiomas | pc14 | Practica
0422147 |3842 | 2007-03-17 | 15:24:49 | 16:24:49 | idiomas | pc16 | Practica
0232638 |3846 | 2007-03-17 | 15:24:15 | 16:24:15 | idiomas | pc18 | Practica
0232602 |3846 | 2007-03-17 | 15:23:57 | 16:23:57 | idiomas | pc20 | Practica
0505278 |7878 | 2007-03-17 | 15:23:40 | 16:23:40 | idiomas | pc22 | Practica
0281517 |2711 | 2007-03-20 | 11:28:49 | 12:28:49 | idiomas | pc01 | Practica
16704493 |1111 | 2007-03-20 | 11:34:58 | 12:34:58 | idiomas | pc20 | Practica
0444268 |3748 | 2007-03-20 | 09:06:29 | 10:06:29 | idiomas | pc20 | Practica
31162165 |1111 | 2007-03-20 | 11:34:40 | 12:34:40 | idiomas | pc22 | Practica
0730637 |3857 | 2007-03-20 | 08:45:29 | 09:45:29 | idiomas | pc22 | Practica
16253860 |1111 | 2007-03-22 | 16:23:40 | 17:23:40 | idiomas | pc01 | Practica
0731954 |3846 | 2007-03-22 | 14:08:24 | 15:08:24 | idiomas | pc01 | Practica
0232602 |3846 | 2007-03-22 | 14:27:17 | 15:27:17 | idiomas | pc01 | Practica
0340254 |3857 | 2007-03-22 | 10:08:28 | 11:08:28 | idiomas | pc01 | Practica
0334487 |3857 | 2007-03-22 | 10:08:48 | 11:08:48 | idiomas | pc03 | Practica
0444306 |3841 | 2007-03-22 | 14:55:57 | 15:55:57 | idiomas | pc03 | Practica
0735464 |3846 | 2007-03-22 | 14:08:53 | 15:08:53 | idiomas | pc03 | Practica
0732372 |3846 | 2007-03-22 | 14:09:16 | 15:09:16 | idiomas | pc04 | Practica
0322206 |3846 | 2007-03-22 | 15:35:22 | 16:35:22 | idiomas | pc04 | Practica
0328961 |3857 | 2007-03-22 | 10:55:53 | 11:55:53 | idiomas | pc04 | Practica
0733644 |3846 | 2007-03-22 | 11:17:53 | 12:17:53 | idiomas | pc05 | Practica
0341057 |3857 | 2007-03-22 | 10:56:18 | 11:56:18 | idiomas | pc06 | Practica
0731136 |3846 | 2007-03-22 | 15:46:52 | 16:46:52 | idiomas | pc06 | Practica
0731777 |3846 | 2007-03-22 | 11:18:22 | 12:18:22 | idiomas | pc07 | Practica
0333213 |3842 | 2007-03-22 | 17:06:19 | 18:06:19 | idiomas | pc08 | Practica
0336943 |3857 | 2007-03-22 | 10:56:36 | 11:56:36 | idiomas | pc08 | Practica
0734987 |3846 | 2007-03-22 | 11:18:44 | 12:18:44 | idiomas | pc09 | Practica
0331260 |3857 | 2007-03-22 | 10:57:03 | 11:57:03 | idiomas | pc11 | Practica
0342076 |3857 | 2007-03-22 | 10:59:20 | 11:59:20 | idiomas | pc12 | Practica
0735882 |3846 | 2007-03-22 | 11:19:22 | 12:19:22 | idiomas | pc13 | Practica
0732372 |3846 | 2007-03-22 | 11:19:44 | 12:19:44 | idiomas | pc14 | Practica
